SYMBOL,TOKEN,ISIN,NAME
20MICRONS,16921,INE144J01027,20MICRONS
21STCENMGM,4,INE253B01015,21STCENMGM
360ONE,13061,INE466L01038,360ONE
3IINFOLTD,6232,INE748C01038,3IINFOLTD
3MINDIA,474,INE470A01017,3MINDIA
5PAISA,445,INE618L01018,5PAISA
63MOONS,11868,INE111B01023,63MOONS
AADHARHFC,23729,INE883F01010,AADHARHFC
AAREYDRUGS,5245,INE198H01019,AAREYDRUGS
AARON,1030,INE721Z01010,AARON
AARTIIND,7,INE769A01020,AARTIIND
AARTIPHARM,13868,INE0LRU01027,AARTIPHARM
AARTISURF,19233,INE09EO01013,AARTISURF
AAVAS,5385,INE216P01012,AAVAS
ABB,13,INE117A01022,ABB
ABBOTINDIA,17903,INE358A01014,ABBOTINDIA
ABCAPITAL,21614,INE674K01013,ABCAPITAL
ABFRL,30108,INE647O01011,ABFRL
ABREL,625,INE055A01016,ABREL
ABSLAMC,6018,INE404A01024,ABSLAMC
ACC,22,INE012A01025,ACC
ACCELYA,7053,INE793A01012,ACCELYA
ACE,13587,INE731H01025,ACE
ADANIENT,25,INE423A01024,ADANIENT
ADANIGREEN,3563,INE364U01010,ADANIGREEN
ADANIPORTS,15083,INE742F01042,ADANIPORTS
ADANIPOWER,17388,INE814H01029,ADANIPOWER
ADFFOODS,19761,INE982B01027,ADFFOODS
AEGISLOG,40,INE208C01025,AEGISLOG
AFCONS,25977,INE101I01011,AFCONS
AGARIND,3389,INE204E01012,AGARIND
AGIIL,24445,INE976R01033,AGIIL
AGI,1412,INE415A01038,AGI
AJANTPHARM,8124,INE031B01049,AJANTPHARM
AJMERA,17307,INE298G01035,AJMERA
AKUMS,24715,INE09XN01023,AKUMS
ALKEM,11703,INE540L01014,ALKEM
ALKYLAMINE,4487,INE150B01039,ALKYLAMINE
ALLDIGI,11798,INE835G01018,ALLDIGI
ALLCARGO,13501,INE418H01029,ALLCARGO
ALMONDZ,16719,INE326B01035,ALMONDZ
ALOKINDS,17675,INE270A01029,ALOKINDS
